MSFT (MICROSOFT CORP),46.26,-1.07,
Aug 11 2015 @ 11:59 ET,Bid,46.25,Ask,46.26,Size,38x6,Vol,8739000,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
15 Aug 40.50 (MSFT1514H40.5-Y),0.0,0.0,5.75,5.95,0,50,15 Aug 40.50 (MSFT1514T40.5-Y),0.0,0.0,0.0,0.38,0,30,
15 Aug 41.00 (MSFT1514H41),5.65,+0.05,5.20,5.45,1,411,15 Aug 41.00 (MSFT1514T41),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-4),4.95,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-4),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-8),4.92,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-8),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-A),5.60,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-A),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-B),5.30,0.0,5.25,5.45,0,411,15 Aug 41.00 (MSFT1514T41-B),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-E),4.90,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-E),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-I),4.90,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-I),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-J),0.0,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-J),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-O),4.90,0.0,5.25,5.45,0,411,15 Aug 41.00 (MSFT1514T41-O),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-P),5.10,0.0,5.20,5.45,0,411,15 Aug 41.00 (MSFT1514T41-P),0.0,0.0,0.0,0.08,0,0,
